"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora31",1,"CREATE",1,195036,NA,319
"fedora31",1,"CREATE",2,633623,NA,319
"fedora31",1,"CREATE",3,889358,NA,319
"fedora31",1,"CREATE",4,781377,NA,319
"fedora31",1,"CREATE",5,494838,NA,319
"fedora31",1,"CREATE",6,504659,NA,319
"fedora31",1,"CREATE",7,1000818,NA,319
"fedora31",1,"CREATE",8,271817364,"glance",319
"fedora31",1,"CREATE",9,85394415,"glance",319
"fedora31",1,"CREATE",10,485853,NA,319
"fedora31",1,"CREATE",11,545519,"neutron",319
"fedora31",1,"CREATE",12,780600,NA,319
"fedora31",1,"CREATE",13,777290,"neutron",319
"fedora31",1,"CREATE",14,409132,NA,319
"fedora31",1,"CREATE",15,151622,"nova",319
"fedora31",1,"CREATE",16,48338,"keystone",319
"fedora31",1,"CREATE",17,399652,NA,319
"fedora31",1,"CREATE",18,47677,NA,319
"fedora31",1,"CREATE",19,166829,NA,319
"fedora31",1,"CREATE",20,9097,NA,319
"fedora31",1,"CREATE",21,164381,NA,319
"fedora31",1,"CREATE",22,92540,NA,319
"fedora31",1,"CREATE",23,323583,NA,319
"fedora31",1,"CREATE",24,219466,NA,319
"fedora31",1,"CREATE",25,8881,NA,319
"fedora31",1,"CREATE",26,145492,NA,319
"fedora31",1,"CREATE",27,13953,"nova",319
"fedora31",1,"CREATE",28,432841,NA,319
"fedora31",1,"CREATE",29,872470,NA,319
"fedora31",1,"CREATE",30,112495,NA,319
"fedora31",1,"RESUME",188,93209,NA,319
"fedora31",1,"RESUME",189,931951,"nova",319
"fedora31",1,"RESUME",190,562071,"neutron",319
"fedora31",1,"RESUME",191,328799,NA,319
"fedora31",1,"SHELVE",318,17193,NA,319
"fedora31",1,"SHELVE",319,382079,"neutron",319
"fedora31",1,"SHELVE",320,1446633,"neutron",319
"fedora31",1,"SHELVE",321,209770,"neutron",319
"fedora31",1,"SHELVE",322,291210,NA,319
"fedora31",1,"SHELVE",323,155539,"rabbitmq",319
"fedora31",1,"SHELVE",324,255681,"neutron",319
"fedora31",1,"SHELVE",325,11588,NA,319
"fedora31",1,"SHELVE",326,146464,"neutron",319
"fedora31",1,"SHELVE",327,14005,NA,319
"fedora31",1,"SHELVE",328,45803,NA,319
"fedora31",1,"SHELVE",329,158009,"nova",319
"fedora31",1,"SHELVE",330,10456,"neutron",319
"fedora31",1,"SHELVE",331,178000,"manila",319
"fedora31",1,"SHELVE",332,261069,"designate",319
"fedora31",1,"SHELVE",333,505200,"rabbitmq",319
"fedora31",1,"SHELVE",334,372672,NA,319
"fedora31",1,"SHELVE",335,394628,"neutron",319
"fedora31",1,"SHELVE",336,239096,NA,319
"fedora31",1,"SHELVE",337,396938,"rabbitmq",319
"fedora31",1,"SHELVE",338,264590,"neutron",319
"fedora31",1,"SHELVE",339,3886838,"rabbitmq",319
"fedora31",1,"SHELVE",340,179956684,"glance",319
"fedora31",1,"SHELVE",341,181872485,"glance",319
"fedora31",1,"SHELVE",342,192595341,"glance",319
"fedora31",1,"SHELVE",343,196682919,"glance",319
"fedora31",1,"SHELVE",344,195490291,"glance",319
"fedora31",1,"SHELVE",345,32605213,"glance",319
"fedora31",1,"SHELVE",346,907992,"neutron",319
"fedora31",1,"SHELVE",347,219389,NA,319
"fedora31",1,"SHELVE",348,362943,NA,319
"fedora31",1,"STOP",252,21488,"nova",319
"fedora31",1,"STOP",253,552848,"glance",319
"fedora31",1,"STOP",254,88186,NA,319
"fedora31",1,"STOP",255,282307,"nova",319
"fedora31",1,"STOP",256,10651,NA,319
"fedora31",1,"STOP",257,250525,"designate",319
"fedora31",1,"STOP",258,94857,NA,319
"fedora31",1,"SUSPEND",122,12825,"designate",319
"fedora31",1,"SUSPEND",123,846403,"nova",319
"fedora31",1,"SUSPEND",124,388480,NA,319
"fedora31",1,"SUSPEND",125,433205,NA,319
"fedora31",1,"SUSPEND",126,292946,"nova",319
"fedora31",1,"SUSPEND",127,531888,NA,319
"fedora31",2,"CREATE",1,90888,NA,319
"fedora31",2,"CREATE",2,572771,NA,319
"fedora31",2,"CREATE",3,806604,"nova",319
"fedora31",2,"CREATE",4,709241,NA,319
"fedora31",2,"CREATE",5,553576,"nova",319
"fedora31",2,"CREATE",6,81310419,"nova",319
"fedora31",2,"CREATE",7,276153402,"glance",319
"fedora31",2,"CREATE",8,296061,"nova",319
"fedora31",2,"CREATE",9,443956,"neutron",319
"fedora31",2,"CREATE",10,1095766,"nova",319
"fedora31",2,"CREATE",11,925550,"nova",319
"fedora31",2,"CREATE",12,508172,"nova",319
"fedora31",2,"CREATE",13,379906,"nova",319
"fedora31",2,"CREATE",14,402868,NA,319
"fedora31",2,"CREATE",15,213415,NA,319
"fedora31",2,"CREATE",16,454341,NA,319
"fedora31",2,"CREATE",17,192976,NA,319
"fedora31",2,"CREATE",18,526678,NA,319
"fedora31",2,"CREATE",19,176196,NA,319
"fedora31",2,"CREATE",20,513474,"nova",319
"fedora31",2,"CREATE",21,241332,"nova",319
"fedora31",2,"CREATE",22,443911,NA,319
"fedora31",2,"CREATE",23,450813,"nova",319
"fedora31",2,"CREATE",24,190942,"nova",319
"fedora31",2,"CREATE",25,886254,"nova",319
"fedora31",2,"CREATE",26,802740,"nova",319
"fedora31",2,"CREATE",27,219988,NA,319
"fedora31",2,"RESUME",154,82424,"designate",319
"fedora31",2,"RESUME",155,842384,"nova",319
